Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
sdlc,What is a benefit of SDLC?,Increased complexity,Organization,More memory usage,Slower execution,Organization,Improves process.
sdlc,What is a limitation of SDLC?,Improved performance,Rigidity,Low memory usage,Fast execution,Rigidity,Less flexibility.
agile methodology,What is Agile methodology?,Iterative development approach,Sorting approach,Filtering approach,Compression approach,Iterative development approach,Emphasizes adaptability.
agile methodology,What practice uses sprints in Agile?,Scrum,Waterfall,Spiral,V-Model,Scrum,Time-boxed iterations.
agile methodology,What is a use case for Agile?,Random access,Software development,Filtering data,Sorting data,Software development,Handles change.
agile methodology,What is a benefit of Agile?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Adapts to needs.
agile methodology,What is a limitation of Agile?,Improved performance,Unpredictability,Low memory usage,Fast execution,Unpredictability,Requires discipline.
scrum,What is Scrum?,An Agile framework for managing work,Sorting framework,Filtering framework,Compression framework,An Agile framework for managing work,Uses sprints.
scrum,What role defines product goals?,Product Owner,Scrum Master,Developer,Tester,Product Owner,Prioritizes backlog.
scrum,What is a use case for Scrum?,Random access,Team collaboration,Filtering data,Sorting data,Team collaboration,Manages tasks.
scrum,What is a benefit of Scrum?,Increased complexity,Transparency,More memory usage,Slower execution,Transparency,Improves communication.
scrum,What is a limitation of Scrum?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Requires training.
waterfall model,What is the Waterfall model?,A linear development process,Sorting process,Filtering process,Compression process,A linear development process,Sequential phases.
waterfall model,What phase follows design?,Implementation,Planning,Testing,Deployment,Implementation,Builds product.
waterfall model,What is a use case for Waterfall?,Random access,Construction projects,Filtering data,Sorting data,Construction projects,Fixed requirements.
waterfall model,What is a benefit of Waterfall?,Increased complexity,Clarity,More memory usage,Slower execution,Clarity,Defined stages.
waterfall model,What is a limitation of Waterfall?,Improved performance,Inflexibility,Low memory usage,Fast execution,Inflexibility,Hard to adapt.
version control,What is version control?,Tracking changes to code,Sorting code,Filtering code,Compressing code,Tracking changes to code,Manages history.
version control,What system is widely used?,Git,HTML,CSS,JavaScript,Git,Distributed control.
version control,What is a use case for version control?,Random access,Collaboration,Filtering data,Sorting data,Collaboration,Team development.
version control,What is a benefit of version control?,Increased complexity,History tracking,More memory usage,Slower execution,History tracking,Reverts changes.
version control,What is a limitation of version control?,Improved performance,Learning curve,Low memory usage,Fast execution,Learning curve,Requires understanding.
git,What is Git?,A distributed version control system,Sorting system,Filtering system,Compression system,A distributed version control system,Tracks changes.
git,What command initializes a repository?,git init,git commit,git push,git pull,git init,Starts a project.
git,What is a use case for Git?,Random access,Code management,Filtering data,Sorting data,Code management,Teamwork.
git,What is a benefit of Git?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Offline work.
git,What is a limitation of Git?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Steep learning.
github,What is GitHub?,A platform for hosting Git repositories,Sorting platform,Filtering platform,Compression platform,A platform for hosting Git repositories,Collaboration tool.
github,What feature supports collaboration?,Pull requests,Commits,Branches,Tags,Pull requests,Review changes.
github,What is a use case for GitHub?,Random access,Open-source projects,Filtering data,Sorting data,Open-source projects,Shares code.
github,What is a benefit of GitHub?,Increased complexity,Community,More memory usage,Slower execution,Community,Wide adoption.
github,What is a limitation of GitHub?,Improved performance,Dependency on internet,Low memory usage,Fast execution,Dependency on internet,Offline limits.
commits,What are commits in Git?,Snapshots of changes,Sorting changes,Filtering changes,Compression changes,Snapshots of changes,Records history.
commits,What command creates a commit?,git commit,git push,git pull,git init,git commit,Saves changes.
commits,What is a use case for commits?,Random access,Change tracking,Filtering data,Sorting data,Change tracking,Documents progress.
commits,What is a benefit of commits?,Increased complexity,Traceability,More memory usage,Slower execution,Traceability,Reverts errors.
commits,What is a limitation of commits?,Improved performance,Frequent overhead,Low memory usage,Fast execution,Frequent overhead,Requires discipline.
branches,What are branches in Git?,Parallel lines of development,Sorting lines,Filtering lines,Compression lines,Parallel lines of development,Supports experimentation.
branches,What command creates a branch?,git branch,git commit,git push,git pull,git branch,Defines new line.
branches,What is a use case for branches?,Random access,Feature development,Filtering data,Sorting data,Feature development,Isolates work.
branches,What is a benefit of branches?,Increased complexity,Isolation,More memory usage,Slower execution,Isolation,Prevents conflicts.
branches,What is a limitation of branches?,Improved performance,Merge conflicts,Low memory usage,Fast execution,Merge conflicts,Requires resolution.
merging,What is merging in Git?,Combining changes from branches,Sorting changes,Filtering changes,Compression changes,Combining changes from branches,Integrates work.
merging,What command performs a merge?,git merge,git commit,git push,git pull,git merge,Joins branches.
merging,What is a use case for merging?,Random access,Code integration,Filtering data,Sorting data,Code integration,Unites features.
merging,What is a benefit of merging?,Increased complexity,Collaboration,More memory usage,Slower execution,Collaboration,Teamwork.
merging,What is a limitation of merging?,Improved performance,Conflict resolution,Low memory usage,Fast execution,Conflict resolution,Requires manual fixes.
pull requests,What are pull requests?,Requests to merge changes,Sorting requests,Filtering requests,Compression requests,Requests to merge changes,Facilitates review.
pull requests,What platform uses pull requests?,GitHub,HTML,CSS,JavaScript,GitHub,Collaboration tool.
pull requests,What is a use case for pull requests?,Random access,Code review,Filtering data,Sorting data,Code review,Ensures quality.
pull requests,What is a benefit of pull requests?,Increased complexity,Transparency,More memory usage,Slower execution,Transparency,Improves feedback.
pull requests,What is a limitation of pull requests?,Improved performance,Overhead,Low memory usage,Fast execution,Overhead,Requires approval.
continuous integration,What is continuous integration?,Automating code integration,Sorting integration,Filtering integration,Compression integration,Automating code integration,Improves reliability.
continuous integration,What tool supports CI?,Jenkins,HTML,CSS,JavaScript,Jenkins,Build automation.
continuous integration,What is a use case for CI?,Random access,Build validation,Filtering data,Sorting data,Build validation,Detects issues.
continuous integration,What is a benefit of CI?,Increased complexity,Speed,More memory usage,Slower execution,Speed,Fast feedback.
continuous integration,What is a limitation of CI?,Improved performance,Setup cost,Low memory usage,Fast execution,Setup cost,Initial investment.
continuous deployment,What is continuous deployment?,Automatically deploying code changes,Sorting deployment,Filtering deployment,Compression deployment,Automatically deploying code changes,Enhances delivery.
continuous deployment,What tool supports CD?,CircleCI,HTML,CSS,JavaScript,CircleCI,Deployment automation.
continuous deployment,What is a use case for CD?,Random access,Production release,Filtering data,Sorting data,Production release,Fast delivery.
continuous deployment,What is a benefit of CD?,Increased complexity,Automation,More memory usage,Slower execution,Automation,Reduces manual effort.
continuous deployment,What is a limitation of CD?,Improved performance,Risk of bugs,Low memory usage,Fast execution,Risk of bugs,Requires testing.
testing,What is testing in software?,Verifying code functionality,Sorting code,Filtering code,Compressing code,Verifying code functionality,Ensures quality.
testing,What type of testing checks units?,Unit testing,Integration testing,System testing,Acceptance testing,Unit testing,Tests components.
testing,What is a use case for testing?,Random access,Bug detection,Filtering data,Sorting data,Bug detection,Improves reliability.
testing,What is a benefit of testing?,Increased complexity,Reliability,More memory usage,Slower execution,Reliability,Reduces errors.
testing,What is a limitation of testing?,Improved performance,Time-intensive,Low memory usage,Fast execution,Time-intensive,Requires effort.
procedural programming,What is procedural programming?,Programming using procedures or functions,Sorting programming,Filtering programming,Compression programming,Programming using procedures or functions,Step-based.
procedural programming,What language uses procedural programming?,C,JavaScript,Python,HTML,C,Structured approach.
procedural programming,What is a use case for procedural programming?,Random access,Scripting,Filtering data,Sorting data,Scripting,Simple tasks.
procedural programming,What is a benefit of procedural programming?,Increased complexity,Simplicity,More memory usage,Slower execution,Simplicity,Easy to follow.
procedural programming,What is a limitation of procedural programming?,Improved performance,Limited reusability,Low memory usage,Fast execution,Limited reusability,No objects.
declarative programming,What is declarative programming?,Describing what to do, not how,Sorting programming,Filtering programming,Compression programming,Describing what to do, not how,Focuses on outcome.
declarative programming,What language uses declarative programming?,SQL,Python,C++,JavaScript,SQL,Query-based.
declarative programming,What is a use case for declarative programming?,Random access,Querying data,Filtering data,Sorting data,Querying data,Defines requirements.
declarative programming,What is a benefit of declarative programming?,Increased complexity,Readability,More memory usage,Slower execution,Readability,Simplifies logic.
declarative programming,What is a limitation of declarative programming?,Improved performance,Less control,Low memory usage,Fast execution,Less control,Abstracts implementation.
imperative programming,What is imperative programming?,Programming by specifying steps,Sorting programming,Filtering programming,Compression programming,Programming by specifying steps,Detail-oriented.
imperative programming,What language uses imperative programming?,C,SQL,HTML,JavaScript,C,Step-by-step execution.
imperative programming,What is a use case for imperative programming?,Random access,System programming,Filtering data,Sorting data,System programming,Low-level tasks.
imperative programming,What is a benefit of imperative programming?,Increased complexity,Control,More memory usage,Slower execution,Control,Direct manipulation.
imperative programming,What is a limitation of imperative programming?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Hard to maintain.
concurrent programming,What is concurrent programming?,Executing multiple tasks at once,Sorting tasks,Filtering tasks,Compression tasks,Executing multiple tasks at once,Improves efficiency.
concurrent programming,What technique supports concurrency?,Threads,Loops,Variables,Arrays,Threads,Parallel execution.
concurrent programming,What is a use case for concurrent programming?,Random access,Multi-tasking,Filtering data,Sorting data,Multi-tasking,Handles I/O.
concurrent programming,What is a benefit of concurrent programming?,Increased complexity,Performance,More memory usage,Slower execution,Performance,Leverages CPU.
concurrent programming,What is a limitation of concurrent programming?,Improved performance,Race conditions,Low memory usage,Fast execution,Race conditions,Requires synchronization.
parallel programming,What is parallel programming?,Executing tasks simultaneously on multiple processors,Sorting tasks,Filtering tasks,Compression tasks,Executing tasks simultaneously on multiple processors,Maximizes resources.
parallel programming,What technique supports parallel programming?,Multiprocessing,Loops,Variables,Arrays,Multiprocessing,Parallel execution.
parallel programming,What is a use case for parallel programming?,Random access,Scientific computing,Filtering data,Sorting data,Scientific computing,Handles large data.
parallel programming,What is a benefit of parallel programming?,Increased complexity,Speed,More memory usage,Slower execution,Speed,Utilizes cores.
parallel programming,What is a limitation of parallel programming?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Requires coordination.
tcp ip,What does TCP/IP stand for?,Transmission Control Protocol/Internet Protocol,Sorting Control Protocol,Filtering Control Protocol,Compression Control Protocol,Transmission Control Protocol/Internet Protocol,Networking foundation.
tcp ip,What layer handles data transmission?,Network,Application,Presentation,Session,Network,Manages routing.
tcp ip,What is a use case for TCP/IP?,Random access,Internet communication,Filtering data,Sorting data,Internet communication,Enables connectivity.
tcp ip,What is a benefit of TCP/IP?,Increased complexity,Reliability,More memory usage,Slower execution,Reliability,Ensures delivery.
tcp ip,What is a limitation of TCP/IP?,Improved performance,Overhead,Low memory usage,Fast execution,Overhead,Adds latency.
http,What is HTTP?,HyperText Transfer Protocol,Sorting Protocol,Filtering Protocol,Compression Protocol,HyperText Transfer Protocol,Web communication.
http,What method requests a resource?,GET,POST,PUT,DELETE,GET,Retrieves data.
http,What is a use case for HTTP?,Random access,Web browsing,Filtering data,Sorting data,Web browsing,Transfers pages.
http,What is a benefit of HTTP?,Increased complexity,Simplicity,More memory usage,Slower execution,Simplicity,Easy implementation.
http,What is a limitation of HTTP?,Improved performance,No security,Low memory usage,Fast execution,No security,Requires HTTPS.
https,What is HTTPS?,HTTP with encryption,Sorting with encryption,Filtering with encryption,Compression with encryption,HTTP with encryption,Secures communication.
https,What protocol enhances HTTPS?,TLS,SSL,TCP,UDP,TLS,Encrypts data.
https,What is a use case for HTTPS?,Random access,Secure websites,Filtering data,Sorting data,Secure websites,Protects data.
https,What is a benefit of HTTPS?,Increased complexity,Security,More memory usage,Slower execution,Security,Prevents eavesdropping.
https,What is a limitation of HTTPS?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Adds computation.
dns,What does DNS stand for?,Domain Name System,Sorting Name System,Filtering Name System,Compression Name System,Domain Name System,Resolves names.
dns,What does DNS translate?,Domain to IP,IP to domain,Port to address,URL to port,Domain to IP,Enables access.
dns,What is a use case for DNS?,Random access,Website resolution,Filtering data,Sorting data,Website resolution,Finds servers.
dns,What is a benefit of DNS?,Increased complexity,Convenience,More memory usage,Slower execution,Convenience,User-friendly.
dns,What is a limitation of DNS?,Improved performance,Security risks,Low memory usage,Fast execution,Security risks,Prone to attacks.
ip address,What is an IP address?,A unique network identifier,Sorting identifier,Filtering identifier,Compression identifier,A unique network identifier,Locates devices.
ip address,What version is IPv6?,6,4,8,10,6,128-bit address.
ip address,What is a use case for IP address?,Random access,Network communication,Filtering data,Sorting data,Network communication,Identifies devices.
ip address,What is a benefit of IP address?,Increased complexity,Uniqueness,More memory usage,Slower execution,Uniqueness,Ensures identification.
ip address,What is a limitation of IP address?,Improved performance,Exhaustion,Low memory usage,Fast execution,Exhaustion,IPv4 limits.
ports,What are ports in networking?,Communication endpoints,Sorting endpoints,Filtering endpoints,Compression endpoints,Communication endpoints,Identifies services.
ports,What range is for well-known ports?,0-1023,1024-49151,49152-65535,65536-70000,0-1023,Standard services.
ports,What is a use case for ports?,Random access,Service access,Filtering data,Sorting data,Service access,Routes traffic.
ports,What is a benefit of ports?,Increased complexity,Multiplexing,More memory usage,Slower execution,Multiplexing,Multiple services.
ports,What is a limitation of ports?,Improved performance,Security risks,Low memory usage,Fast execution,Security risks,Open ports vulnerable.
sockets,What are sockets in networking?,Endpoints for network communication,Sorting endpoints,Filtering endpoints,Compression endpoints,Endpoints for network communication,Enables connections.
sockets,What protocol uses sockets?,TCP,HTTP,HTML,CSS,TCP,Reliable transmission.
sockets,What is a use case for sockets?,Random access,Real-time apps,Filtering data,Sorting data,Real-time apps,Handles streams.
sockets,What is a benefit of sockets?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Supports protocols.
sockets,What is a limitation of sockets?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Requires management.
firewalls,What are firewalls?,Security devices controlling network traffic,Sorting devices,Filtering devices,Compression devices,Security devices controlling network traffic,Protects networks.
firewalls,What type blocks unauthorized access?,Packet filtering,Application filtering,Sorting filtering,Compression filtering,Packet filtering,Basic protection.
firewalls,What is a use case for firewalls?,Random access,Network security,Filtering data,Sorting data,Network security,Prevents intrusions.
firewalls,What is a benefit of firewalls?,Increased complexity,Protection,More memory usage,Slower execution,Protection,Blocks threats.
firewalls,What is a limitation of firewalls?,Improved performance,Configuration complexity,Low memory usage,Fast execution,Configuration complexity,Requires tuning.
load balancers,What are load balancers?,Devices distributing network traffic,Sorting devices,Filtering devices,Compression devices,Devices distributing network traffic,Improves performance.
load balancers,What technique uses load balancers?,Round-robin,Linear sorting,Filtering,Compression,Round-robin,Distributes evenly.
load balancers,What is a use case for load balancers?,Random access,Traffic management,Filtering data,Sorting data,Traffic management,Enhances scalability.
load balancers,What is a benefit of load balancers?,Increased complexity,Performance,More memory usage,Slower execution,Performance,Distributes load.
load balancers,What is a limitation of load balancers?,Improved performance,Single point of failure,Low memory usage,Fast execution,Single point of failure,Requires redundancy.
encryption,What is encryption?,Converting data into a secure format,Sorting data,Filtering data,Compressing data,Converting data into a secure format,Ensures privacy.
encryption,What algorithm is used for encryption?,AES,Linear search,Binary search,Bubble sort,AES,Standard encryption.
encryption,What is a use case for encryption?,Random access,Secure communication,Filtering data,Sorting data,Secure communication,Protects data.
encryption,What is a benefit of encryption?,Increased complexity,Security,More memory usage,Slower execution,Security,Prevents unauthorized access.
encryption,What is a limitation of encryption?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Adds computation.
hashing,What is hashing?,Converting data into a fixed-size value,Sorting value,Filtering value,Compression value,Converting data into a fixed-size value,Ensures integrity.
hashing,What algorithm produces a hash?,SHA-256,Linear search,Binary search,Bubble sort,SHA-256,Secure hashing.
hashing,What is a use case for hashing?,Random access,Data integrity,Filtering data,Sorting data,Data integrity,Verifies content.
hashing,What is a benefit of hashing?,Increased complexity,Speed,More memory usage,Slower execution,Speed,Fast verification.
hashing,What is a limitation of hashing?,Improved performance,Collisions,Low memory usage,Fast execution,Collisions,Potential duplicates.
unsupervised learning,What is unsupervised learning?,Learning patterns without labeled data,Sorting data,Filtering data,Compressing data,Learning patterns without labeled data,Discovers structure.
unsupervised learning,What algorithm is used in unsupervised learning?,K-means,Linear regression,Logistic regression,Decision tree,K-means,Clusters data.
unsupervised learning,What is a use case for unsupervised learning?,Random access,Data segmentation,Filtering data,Sorting data,Data segmentation,Groups similar items.
unsupervised learning,What is a benefit of unsupervised learning?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,No labels needed.
unsupervised learning,What is a limitation of unsupervised learning?,Improved performance,Ambiguity,Low memory usage,Fast execution,Ambiguity,Hard to evaluate.
classification,What is classification?,Assigning labels to data,Sorting data,Filtering data,Compressing data,Assigning labels to data,Predicts categories.
classification,What algorithm is used for classification?,Logistic regression,Linear search,Binary search,Bubble sort,Logistic regression,Predicts binary outcomes.
classification,What is a use case for classification?,Random access,Spam detection,Filtering data,Sorting data,Spam detection,Identifies categories.
classification,What is a benefit of classification?,Increased complexity,Accuracy,More memory usage,Slower execution,Accuracy,Precise predictions.
classification,What is a limitation of classification?,Improved performance,Overfitting,Low memory usage,Fast execution,Overfitting,Requires tuning.
regression,What is regression?,Predicting continuous values,Sorting values,Filtering values,Compressing values,Predicting continuous values,Models relationships.
regression,What algorithm is used for regression?,Linear regression,Linear search,Binary search,Bubble sort,Linear regression,Fits data.
regression,What is a use case for regression?,Random access,Price prediction,Filtering data,Sorting data,Price prediction,Estimates trends.
regression,What is a benefit of regression?,Increased complexity,Precision,More memory usage,Slower execution,Precision,Quantifies relationships.
regression,What is a limitation of regression?,Improved performance,Assumption sensitivity,Low memory usage,Fast execution,Assumption sensitivity,Requires linearity.
clustering,What is clustering?,Grouping similar data points,Sorting points,Filtering points,Compressing points,Grouping similar data points,Identifies patterns.
clustering,What algorithm is used for clustering?,K-means,Logistic regression,Linear regression,Decision tree,K-means,Partitions data.
clustering,What is a use case for clustering?,Random access,Market segmentation,Filtering data,Sorting data,Market segmentation,Groups customers.
clustering,What is a benefit of clustering?,Increased complexity,Insight,More memory usage,Slower execution,Insight,Reveals structure.
clustering,What is a limitation of clustering?,Improved performance,Number of clusters,Low memory usage,Fast execution,Number of clusters,Hard to determine.
deep learning,What is deep learning?,Using neural networks with many layers,Sorting layers,Filtering layers,Compressing layers,Using neural networks with many layers,Handles complex data.
deep learning,What framework supports deep learning?,TensorFlow,HTML,CSS,JavaScript,TensorFlow,Builds models.
deep learning,What is a use case for deep learning?,Random access,Image recognition,Filtering data,Sorting data,Image recognition,Processes visuals.
deep learning,What is a benefit of deep learning?,Increased complexity,Accuracy,More memory usage,Slower execution,Accuracy,Learns features.
deep learning,What is a limitation of deep learning?,Improved performance,Resource intensive,Low memory usage,Fast execution,Resource intensive,Requires GPUs.
neural network,What is a neural network?,A model mimicking brain structure,Sorting model,Filtering model,Compression model,A model mimicking brain structure,Learns patterns.
neural network,What component processes input?,Neuron,Layer,Weight,Bias,Neuron,Receives data.
neural network,What is a use case for neural networks?,Random access,Speech recognition,Filtering data,Sorting data,Speech recognition,Processes audio.
neural network,What is a benefit of neural networks?,Increased complexity,Adaptability,More memory usage,Slower execution,Adaptability,Handles nonlinearity.
neural network,What is a limitation of neural networks?,Improved performance,Training time,Low memory usage,Fast execution,Training time,Computationally expensive.
natural language processing,What is natural language processing?,Analyzing and generating human language,Sorting language,Filtering language,Compressing language,Analyzing and generating human language,Understands text.
natural language processing,What technique supports NLP?,Tokenization,Linear sorting,Filtering,Compression,Tokenization,Breaks text.
natural language processing,What is a use case for NLP?,Random access,Chatbots,Filtering data,Sorting data,Chatbots,Automates conversation.
natural language processing,What is a benefit of NLP?,Increased complexity,Understanding,More memory usage,Slower execution,Understanding,Interprets language.
natural language processing,What is a limitation of NLP?,Improved performance,Ambiguity,Low memory usage,Fast execution,Ambiguity,Handles context poorly.
computer vision,What is computer vision?,Enabling computers to interpret visual data,Sorting data,Filtering data,Compressing data,Enabling computers to interpret visual data,Processes images.
computer vision,What technique supports computer vision?,Convolution,Linear sorting,Filtering,Compression,Convolution,Extracts features.
computer vision,What is a use case for computer vision?,Random access,Face recognition,Filtering data,Sorting data,Face recognition,Identifies objects.
computer vision,What is a benefit of computer vision?,Increased complexity,Accuracy,More memory usage,Slower execution,Accuracy,Detects patterns.
computer vision,What is a limitation of computer vision?,Improved performance,Lighting dependency,Low memory usage,Fast execution,Lighting dependency,Affects performance.
try catch blocks,What are try catch blocks?,Handling exceptions in code,Sorting exceptions,Filtering exceptions,Compressing exceptions,Handling exceptions in code,Manages errors.
try catch blocks,What language uses try catch blocks?,Java,HTML,CSS,JavaScript,Java,Exception handling.
try catch blocks,What is a use case for try catch blocks?,Random access,Error handling,Filtering data,Sorting data,Error handling,Prevents crashes.
try catch blocks,What is a benefit of try catch blocks?,Increased complexity,Reliability,More memory usage,Slower execution,Reliability,Graceful recovery.
try catch blocks,What is a limitation of try catch blocks?,Improved performance,Overhead,Low memory usage,Fast execution,Overhead,Adds complexity.
pointers,What are pointers?,Variables storing memory addresses,Sorting addresses,Filtering addresses,Compressing addresses,Variables storing memory addresses,Direct memory access.
pointers,What language uses pointers?,C,Python,HTML,JavaScript,C,Manual memory management.
pointers,What is a use case for pointers?,Random access,Memory optimization,Filtering data,Sorting data,Memory optimization,Efficient allocation.
pointers,What is a benefit of pointers?,Increased complexity,Performance,More memory usage,Slower execution,Performance,Direct access.
pointers,What is a limitation of pointers?,Improved performance,Memory leaks,Low memory usage,Fast execution,Memory leaks,Error-prone.
go routines,What are go routines?,Lightweight threads in Go,Sorting threads,Filtering threads,Compressing threads,Lightweight threads in Go,Concurrent execution.
go routines,What function starts a go routine?,go,thread,start,run,go,Launches concurrently.
go routines,What is a use case for go routines?,Random access,Parallel tasks,Filtering data,Sorting data,Parallel tasks,Handles I/O.
go routines,What is a benefit of go routines?,Increased complexity,Efficiency,More memory usage,Slower execution,Efficiency,Low overhead.
go routines,What is a limitation of go routines?,Improved performance,Debugging,Low memory usage,Fast execution,Debugging,Complex tracing.
golang,What is Golang?,A programming language developed by Google,Sorting language,Filtering language,Compression language,A programming language developed by Google,Concurrent design.
golang,What feature supports concurrency in Golang?,Goroutines,Loops,Variables,Arrays,Goroutines,Lightweight threads.
golang,What is a use case for Golang?,Random access,Web servers,Filtering data,Sorting data,Web servers,High performance.
golang,What is a benefit of Golang?,Increased complexity,Simplicity,More memory usage,Slower execution,Simplicity,Built-in tools.
golang,What is a limitation of Golang?,Improved performance,Limited libraries,Low memory usage,Fast execution,Limited libraries,Less ecosystem.
ides,What are IDEs?,Integrated Development Environments,Sorting Environments,Filtering Environments,Compression Environments,Integrated Development Environments,Enhances coding.
ides,What example is an IDE?,Visual Studio Code,HTML,CSS,JavaScript,Visual Studio Code,Code editor.
ides,What is a use case for IDEs?,Random access,Code development,Filtering data,Sorting data,Code development,Improves productivity.
ides,What is a benefit of IDEs?,Increased complexity,Automation,More memory usage,Slower execution,Automation,Reduces effort.
ides,What is a limitation of IDEs?,Improved performance,Resource intensive,Low memory usage,Fast execution,Resource intensive,Requires power.
text editors,What are text editors?,Tools for editing plain text,Sorting tools,Filtering tools,Compression tools,Tools for editing plain text,Edits code.
text editors,What example is a text editor?,Notepad++,HTML,CSS,JavaScript,Notepad++,Lightweight editor.
text editors,What is a use case for text editors?,Random access,Script editing,Filtering data,Sorting data,Script editing,Quick changes.
text editors,What is a benefit of text editors?,Increased complexity,Lightweight,More memory usage,Slower execution,Lightweight,Low resource use.
text editors,What is a limitation of text editors?,Improved performance,Limited features,Low memory usage,Fast execution,Limited features,No debugging.
virtual machines,What are virtual machines?,Emulated computer systems,Sorting systems,Filtering systems,Compression systems,Emulated computer systems,Runs OS.
virtual machines,What technology supports VMs?,VMware,HTML,CSS,JavaScript,VMware,Manages virtualization.
virtual machines,What is a use case for virtual machines?,Random access,Server testing,Filtering data,Sorting data,Server testing,Isolates environments.
virtual machines,What is a benefit of virtual machines?,Increased complexity,Isolation,More memory usage,Slower execution,Isolation,Prevents conflicts.
virtual machines,What is a limitation of virtual machines?,Improved performance,Resource heavy,Low memory usage,Fast execution,Resource heavy,High overhead.
containers,What are containers?,Lightweight, isolated environments,Sorting environments,Filtering environments,Compression environments,Lightweight, isolated environments,Portable apps.
containers,What technology supports containers?,Docker,HTML,CSS,JavaScript,Docker,Manages containers.
containers,What is a use case for containers?,Random access,App deployment,Filtering data,Sorting data,App deployment,Ensures consistency.
containers,What is a benefit of containers?,Increased complexity,Portability,More memory usage,Slower execution,Portability,Cross-platform.
containers,What is a limitation of containers?,Improved performance,Resource limits,Low memory usage,Fast execution,Resource limits,Constrains usage.
docker,What is Docker?,A platform for containerization,Sorting platform,Filtering platform,Compression platform,A platform for containerization,Manages apps.
docker,What command builds an image?,docker build,docker run,docker push,docker pull,docker build,Creates containers.
docker,What is a use case for Docker?,Random access,App packaging,Filtering data,Sorting data,App packaging,Ensures portability.
docker,What is a benefit of Docker?,Increased complexity,Efficiency,More memory usage,Slower execution,Efficiency,Lightweight.
docker,What is a limitation of Docker?,Improved performance,Learning curve,Low memory usage,Fast execution,Learning curve,Requires knowledge.
kubernetes,What is Kubernetes?,A system for managing containerized applications,Sorting system,Filtering system,Compression system,A system for managing containerized applications,Orchestrates deployment.
kubernetes,What component schedules pods?,Kube-scheduler,API server,Controller manager,Etcd,Kube-scheduler,Assigns resources.
kubernetes,What is a use case for Kubernetes?,Random access,Container orchestration,Filtering data,Sorting data,Container orchestration,Scales apps.
kubernetes,What is a benefit of Kubernetes?,Increased complexity,Scalability,More memory usage,Slower execution,Scalability,Handles load.
kubernetes,What is a limitation of Kubernetes?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Steep learning.
cloud computing,What is cloud computing?,Delivering services over the internet,Sorting services,Filtering services,Compression services,Delivering services over the internet,Scalable resources.
cloud computing,What model uses pay-as-you-go?,IaaS,HTML,CSS,JavaScript,IaaS,Infrastructure as a Service.
cloud computing,What is a use case for cloud computing?,Random access,Data storage,Filtering data,Sorting data,Data storage,Flexible access.
cloud computing,What is a benefit of cloud computing?,Increased complexity,Scalability,More memory usage,Slower execution,Scalability,On-demand resources.
cloud computing,What is a limitation of cloud computing?,Improved performance,Dependency,Low memory usage,Fast execution,Dependency,Reliant on provider.
aws,What is AWS?,Amazon Web Services,Sorting Web Services,Filtering Web Services,Compression Web Services,Amazon Web Services,Cloud platform.
aws,What service provides computing power?,EC2,HTML,CSS,JavaScript,EC2,Elastic Compute Cloud.
aws,What is a use case for AWS?,Random access,Server hosting,Filtering data,Sorting data,Server hosting,Scalable infrastructure.
aws,What is a benefit of AWS?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Variety of services.
aws,What is a limitation of AWS?,Improved performance,Cost,Low memory usage,Fast execution,Cost,Pay-per-use model.
azure,What is Azure?,Microsoft's cloud computing platform,Sorting platform,Filtering platform,Compression platform,Microsoft's cloud computing platform,Offers services.
azure,What service provides virtual machines?,Azure VMs,HTML,CSS,JavaScript,Azure VMs,Compute resources.
azure,What is a use case for Azure?,Random access,App deployment,Filtering data,Sorting data,App deployment,Scalable solutions.
azure,What is a benefit of Azure?,Increased complexity,Integration,More memory usage,Slower execution,Integration,Microsoft ecosystem.
azure,What is a limitation of Azure?,Improved performance,Cost,Low memory usage,Fast execution,Cost,Expensive for large use.
functors,What are functors?,Objects that can be called like functions,Sorting objects,Filtering objects,Compression objects,Objects that can be called like functions,Enhances flexibility.
functors,What language supports functors?,C++,Python,HTML,JavaScript,C++,Operator overloading.
functors,What is a use case for functors?,Random access,Custom operations,Filtering data,Sorting data,Custom operations,Defines behavior.
functors,What is a benefit of functors?,Increased complexity,Reusability,More memory usage,Slower execution,Reusability,Stateful functions.
functors,What is a limitation of functors?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Hard to understand.
pure functions,What are pure functions?,Functions with no side effects,Sorting functions,Filtering functions,Compression functions,Functions with no side effects,Ensures predictability.
pure functions,What property defines pure functions?,Determinism,Randomness,Variability,Mutability,Determinism,Same input, same output.
