Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note,Explanation
higher order functions,What is a benefit of using higher-order functions in React?,Increased complexity,Component abstraction,Slower rendering,Larger bundle size,Component abstraction,React leverages higher-order components for logic reuse.,"In React, higher-order components (HOCs) are functions that wrap other components to inject props or behavior. This pattern allows developers to abstract cross-cutting concerns like authentication, logging, or conditional rendering, promoting component reuse."
pure functions,What are pure functions?,Functions with no side effects,Sorting functions,Filtering functions,Compression functions,Functions with no side effects,Pure functions ensure predictability by avoiding external state changes.,"Pure functions are deterministic functions that produce the same output for the same input and do not modify any external state or variables. They are essential in functional programming because they make code easier to test, debug, and reason about, as their behavior is entirely dependent on their inputs."
pure functions,What property defines pure functions?,Determinism,Randomness,Variability,Mutability,Determinism,Pure functions guarantee consistent results for identical inputs.,"The defining characteristic of pure functions is determinism, meaning they always produce the same output for the same input without any side effects. This property makes them highly predictable and reliable, especially in concurrent or parallel environments where state changes can introduce complexity."
pure functions,What is a use case for pure functions?,Random access,Functional programming,Filtering data,Sorting data,Functional programming,Pure functions are foundational in functional programming paradigms.,"In functional programming, pure functions are used extensively because they allow developers to build programs using immutable data structures and avoid side effects. This leads to more maintainable, testable, and scalable codebases, making pure functions a cornerstone of functional programming languages like Haskell and functional libraries in JavaScript."
pure functions,What is a benefit of pure functions?,Increased complexity,Testability,More memory usage,Slower execution,Testability,Pure functions simplify testing due to their deterministic nature.,"Because pure functions do not rely on external state or I/O, they can be easily tested in isolation. Developers can provide various inputs and verify outputs without worrying about external dependencies, making unit testing straightforward and efficient."
pure functions,What is a limitation of pure functions?,Improved performance,State management,Low memory usage,Fast execution,State management,Pure functions cannot directly manage mutable state.,"One limitation of pure functions is that they cannot modify external state or global variables. While this ensures predictability, it also means that tasks requiring stateful operations, such as managing user sessions or handling database transactions, may require additional mechanisms like monads or state management patterns."
tail recursion,What is tail recursion?,Recursion where the last operation is the recursive call,Sorting call,Filtering call,Compression call,Recursion where the last operation is the recursive call,Tail recursion optimizes stack usage by reusing the current stack frame.,"Tail recursion occurs when the recursive call is the final operation in a function. This allows compilers or interpreters to optimize the recursion by reusing the current stack frame instead of creating a new one for each recursive call, reducing memory overhead and preventing stack overflow in deep recursions."
tail recursion,What language optimizes tail recursion?,Scheme,Python,HTML,JavaScript,Scheme,Scheme is known for its support of tail-call optimization.,"Scheme, being a Lisp dialect, has built-in support for tail-call optimization, which transforms tail-recursive functions into iterative loops at runtime. This ensures that tail recursion does not consume excessive stack space, making it suitable for deeply recursive algorithms."
tail recursion,What is a use case for tail recursion?,Random access,Loop replacement,Filtering data,Sorting data,Loop replacement,Tail recursion can replace traditional loops in functional programming.,"Tail recursion is often used to implement iterative processes recursively. For example, tasks like traversing lists, calculating factorials, or implementing algorithms like binary search can be expressed as tail-recursive functions, leveraging the benefits of recursion while maintaining efficiency through tail-call optimization."
tail recursion,What is a benefit of tail recursion?,Increased complexity,Efficiency,More memory usage,Slower execution,Efficiency,Tail recursion reduces stack usage compared to regular recursion.,"When implemented correctly, tail recursion avoids the overhead of maintaining multiple stack frames for each recursive call. By reusing the current stack frame, tail recursion ensures that the algorithm runs in constant stack space, making it more efficient for deep recursions compared to standard recursive approaches."
tail recursion,What is a limitation of tail recursion?,Improved performance,Language dependency,Low memory usage,Fast execution,Language dependency,Not all languages optimize tail recursion.,"While some languages like Scheme and Scala optimize tail recursion, many popular languages like Python and JavaScript do not perform tail-call optimization by default. This means that even if a function is written in tail-recursive style, it may still suffer from stack overflow issues in these languages unless alternative techniques are employed."
memoization,What is memoization?,Caching function results to avoid recomputation,Sorting results,Filtering results,Compression results,Caching function results to avoid recomputation,Memoization improves performance by storing previously computed results.,"Memoization is an optimization technique where the results of expensive function calls are stored in a cache. When the same inputs occur again, the cached result is returned instead of recalculating, significantly speeding up computations, especially for recursive functions like Fibonacci or factorial calculations."
memoization,What technique uses memoization?,Dynamic programming,Linear sorting,Filtering,Compression,Dynamic programming,Memoization is commonly used in dynamic programming problems.,"Dynamic programming problems often involve overlapping subproblems, where the same subproblem is solved multiple times. Memoization helps by caching the results of these subproblems, allowing subsequent calls to reuse the cached values and avoid redundant computation."
memoization,What is a use case for memoization?,Random access,Fibonacci calculation,Filtering data,Sorting data,Fibonacci calculation,Memoization speeds up recursive algorithms like Fibonacci.,"The Fibonacci sequence is a classic example where memoization drastically improves performance. Without memoization, the naive recursive implementation of Fibonacci has exponential time complexity. With memoization, repeated calculations are avoided, reducing the time complexity to linear."
memoization,What is a benefit of memoization?,Increased complexity,Speed,More memory usage,Slower execution,Speed,Memoization reduces redundant work by caching results.,"By caching the results of expensive function calls, memoization eliminates the need to recompute values that have already been calculated. This leads to significant speed improvements, especially in scenarios involving repetitive or overlapping computations."
memoization,What is a limitation of memoization?,Improved performance,Memory use,Low memory usage,Fast execution,Memory use,Memoization requires additional memory to store cached results.,"While memoization improves computational speed, it comes at the cost of increased memory usage. Storing cached results consumes additional memory, which can become a concern for large datasets or when dealing with limited resources. Additionally, caching may lead to memory leaks if not properly managed."
currying,What is currying?,Transforming a function into a sequence of functions,Sorting functions,Filtering functions,Compression functions,Transforming a function into a sequence of functions,Currying enables partial application of arguments.,"Currying is a technique where a function that takes multiple arguments is transformed into a sequence of functions, each taking a single argument. This allows for partial application, where some arguments are fixed, resulting in a new function that accepts the remaining arguments. Currying is particularly useful in functional programming for creating reusable and flexible functions."
currying,What language supports currying?,Haskell,Python,HTML,JavaScript,Haskell,Haskell natively supports currying as part of its functional paradigm.,"Haskell is a purely functional programming language that inherently supports currying. Functions in Haskell are automatically curried, meaning they accept one argument at a time. This design choice aligns with Haskell's emphasis on immutability and composability, making currying a natural fit for its functional programming model."
currying,What is a use case for currying?,Random access,Function specialization,Filtering data,Sorting data,Function specialization,Currying allows creating specialized versions of functions.,"Currying is useful for creating specialized versions of functions by fixing some arguments. For example, a generic mathematical function like `add(a, b)` can be partially applied to create a new function like `increment(x) = add(1, x)`. This flexibility enhances modularity and reusability in functional programming."
currying,What is a benefit of currying?,Increased complexity,Modularity,More memory usage,Slower execution,Modularity,Currying breaks down complex functions into simpler parts.,"Currying promotes modularity by decomposing multi-argument functions into sequences of single-argument functions. This makes functions easier to compose, test, and reuse, as each step in the curried chain can be independently verified and combined with other functions."
currying,What is a limitation of currying?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Currying can introduce cognitive overhead.,"While currying offers powerful abstraction capabilities, it can also increase complexity, especially for developers unfamiliar with functional programming paradigms. Managing curried functions and understanding their partial applications requires careful thought, which may lead to harder-to-read code if not handled properly."
higher order functions,What are higher-order functions?,Functions that operate on other functions,Sorting functions,Filtering functions,Compression functions,Functions that operate on other functions,Higher-order functions enhance abstraction in functional programming.,"Higher-order functions are functions that either take one or more functions as arguments or return a function as their result. They enable powerful abstractions by treating functions as first-class citizens, allowing developers to write more modular, reusable, and expressive code. Examples include `map`, `filter`, and `reduce` in functional programming."
higher order functions,What language supports higher-order functions?,JavaScript,HTML,CSS,Python,JavaScript,JavaScript is widely used for functional programming with higher-order functions.,"JavaScript supports higher-order functions through features like `map`, `filter`, and `reduce`. These functions allow developers to manipulate collections efficiently by passing callback functions as arguments, making JavaScript a versatile language for both imperative and functional programming styles."
higher order functions,What is a use case for higher-order functions?,Random access,Array manipulation,Filtering data,Sorting data,Array manipulation,Higher-order functions are ideal for working with collections.,"Higher-order functions are commonly used for array manipulation in functional programming. Methods like `map`, `filter`, and `reduce` allow developers to transform, filter, or aggregate arrays in a concise and declarative manner, improving code readability and maintainability."
higher order functions,What is a benefit of higher-order functions?,Increased complexity,Reusability,More memory usage,Slower execution,Reusability,Higher-order functions promote reusable and composable code.,"Higher-order functions encourage writing reusable code by abstracting common operations like mapping, filtering, or reducing collections. This abstraction reduces redundancy and makes it easier to apply similar logic across different contexts, enhancing code modularity and maintainability."
higher order functions,What is a limitation of higher-order functions?,Improved performance,Overhead,Low memory usage,Fast execution,Overhead,Higher-order functions may introduce performance costs.,"While higher-order functions offer expressiveness and abstraction, they can introduce overhead due to the creation and invocation of callback functions. In performance-critical scenarios, this overhead might outweigh the benefits, making imperative alternatives more suitable. However, modern JavaScript engines optimize these patterns effectively in most cases."
python,What does `__init__` represent in Python?,A constructor method,A destructor method,An instance variable,A class decorator,A constructor method,`__init__` is used to initialize object attributes when an object is created.,`__init__` is a special method in Python that acts as a constructor. It is automatically called when an object of a class is created and is used to initialize the object’s properties.
python,Which keyword is used to define a function in Python?,define,def,function,fun,def,The 'def' keyword is used to declare functions in Python.,"In Python, the `def` keyword is used to define a function. After `def`, you specify the function name followed by parentheses containing any parameters."
python,What is the purpose of `self` in Python classes?,To refer to the class itself,To refer to the current instance of the class,To access global variables,To use static methods,To refer to the current instance of the class,`self` allows access to the attributes and methods of the current object.,"In Python, `self` is a reference to the current instance of the class. It must be the first parameter of any instance method and is used to access or modify the instance's attributes."
python,Which of the following data types is mutable?,tuple,string,list,int,list,Mutable data types can be changed after creation.,"Python lists are mutable, meaning their contents can be modified after they are created. Tuples, strings, and integers are immutable, so their values cannot be changed once assigned."
python,What does PEP stand for in Python?,Python Enhancement Proposal,Python Execution Plan,Program Evaluation Procedure,Public Extension Program,Python Enhancement Proposal,PEPs provide guidelines and feature proposals for Python.,"PEP stands for Python Enhancement Proposal. These documents describe new features, standards, and improvements for the Python programming language, including style guides like PEP 8."
python,Which operator checks identity in Python?,==,!=,is,in,is,"The 'is' operator compares memory addresses, not values.","The `is` operator checks if two variables point to the same object in memory, while `==` checks if the values of two objects are equal."
python,What is list comprehension?,A way to create dictionaries,A concise way to create lists,A loop control statement,A built-in function,A concise way to create lists,List comprehensions offer a clean and compact syntax for creating lists.,List comprehension provides a syntactically shorter and more readable way to construct lists using loops and transformations within a single line.
python,How do you make a shallow copy of a list?,list.copy(),list.deepcopy(),list.view(),list.assign(),list.copy(),Shallow copy creates a new object with references to nested objects.,"Using `list.copy()` or slicing (`lst[:]`) creates a shallow copy of the list. It copies the outer list but retains references to inner elements, which may cause changes to nested objects to reflect in both."
python,What is a generator in Python?,A function that returns a value and terminates,A function that returns multiple values at once,A function that returns an iterator,A list comprehension,A function that returns an iterator,Generators allow lazy evaluation and memory-efficient operations.,"A generator is defined like a regular function but uses `yield` instead of `return`. It returns an iterator that yields values one at a time, rather than returning all at once, making it ideal for large datasets."
python,What is the output of `type(())` in Python?,<class 'list'>,<class 'tuple'>,<class 'dict'>,<class 'set'>,<class 'tuple'>,"Empty parentheses denote an empty tuple, not an empty group.","In Python, `()` without any elements represents an empty tuple. To create an empty set, you must use `set()`, as `{}` denotes an empty dictionary."
python,"What will be the output of the following?

print([x * x for x in range(5) if x % 2 == 0])","[0, 1, 4, 9]","[1, 3]","[0, 4, 16]","[0, 4]","[0, 4]",Only even numbers from 0 to 4 are squared.,"This list comprehension squares even numbers from 0 to 4 (inclusive), resulting in `[0, 4]` because only `0` and `2` satisfy `x % 2 == 0` in `range(5)`."
python,"What is printed in the following code?

def func(x=[]):
    x.append(1)
    return x

print(func())
print(func())","[1]
[1]","[1]
[]","[1]
[1, 1]","[1, 1]
[1, 1]","[1]
[1, 1]",Default arguments are evaluated only once at function definition.,"Because the default argument `x=[]` is mutable and initialized only once, each call to `func()` appends to the same list. So, the second call sees the previous state: `[1, 1]`."
python,"What is the output of the following code?

a = [1, 2, 3]
b = a
b[1] = 5
print(a)","[1, 2, 3]","[1, 5, 3]","[1, 2, 5]","[5, 2, 3]","[1, 5, 3]","Assigning one list to another creates a reference, not a copy.","When `b = a` is executed, `b` becomes a reference to the same list as `a`. Modifying `b` affects `a` because both refer to the same object in memory."
python,"What is printed by the following code?

print(type(1/2))",<class 'float'>,<class 'int'>,<class 'str'>,<class 'complex'>,<class 'float'>,Division using '/' always returns float in Python 3.,"In Python 3, dividing two integers using `/` results in a float. For integer division, `//` should be used instead."
python,"What is the output of:

values = [1, 2, 3, 4]
for i in range(len(values)):
    values.pop(i)
print(values)","[1, 2, 3, 4]","[1, 3]","[2, 4]",[],"[2, 4]",Modifying a list during iteration leads to skipped elements.,"When removing elements during iteration using indices, the list shrinks, causing some elements to shift and be skipped. This results in only some elements being removed, leaving `[2, 4]` at the end."
python,"What is the output of the following code?

a = {1, 2, 3}
b = a
b.add(4)
print(a)","{1, 2, 3}","{4, 1, 2, 3}","{1, 2, 3, 4}","{1, 2, 3, 4, 4}","{1, 2, 3, 4}",Sets are mutable and passed by reference.,"Since sets are mutable and assigned by reference, modifying `b` also modifies `a`, since both refer to the same object in memory."
python,"What is printed by:

x = 10
y = 20
x, y = y, x
print(x, y)",10 20,20 10,10 10,20 20,20 10,Tuple unpacking swaps variable values efficiently.,"The assignment `x, y = y, x` performs a swap using tuple unpacking. This is a popular Pythonic way to exchange values between variables without temporary storage."
python,"What is the output of the following code?

print('Hello'[::-1])",'Hello','olleH',IndexError,'hELLO','olleH',String slicing with step -1 reverses the string.,Slicing a string with `[::-1]` reverses the string. So `'Hello'[::-1]` becomes `'olleH'`.
python,"What does the following print?

import math
print(math.floor(-2.9))",-2,-3,2,3,-3,math.floor returns the largest integer less than or equal to the number.,"The `math.floor()` function rounds down to the nearest integer. `-3` is the floor of `-2.9`, as it is the largest integer less than or equal to -2.9."
python,"What is printed in the following?

s = 'hello'
try:
    s[0] = 'H'
except TypeError:
    print('Error')",'Hello','hello','H',Error,Error,Strings are immutable and cannot be changed in place.,"Strings in Python are immutable. Attempting to change an individual character raises a `TypeError`, which is then caught and 'Error' is printed."
python,"Identify the error in the following code:

if True:
    print('Hello')
else
    print('World')",IndentationError,SyntaxError,ValueError,No error,SyntaxError,Missing colon after 'else' causes a syntax error.,The `else` block must have a colon `:` immediately after it. Omitting the colon results in a `SyntaxError`.
python,"What error occurs in this code?

x = 5
y = 'abc'
print(x + y)",NameError,TypeError,ZeroDivisionError,None,TypeError,Cannot concatenate int and str directly.,"Trying to add an integer and a string leads to a `TypeError`, as Python does not support implicit type conversion between these types."
python,"What error does this code raise?

my_list = [1, 2, 3]
print(my_list[5])",KeyError,IndexError,AttributeError,NameError,IndexError,Accessing out-of-bounds index raises IndexError.,Python raises an `IndexError` when attempting to access an element beyond the length of a sequence like a list or tuple.
python,"What is wrong with the following code?

a, b = (1, 2, 3)",TypeError,UnpackingError,ValueError,Too many values to unpack,Too many values to unpack,Number of variables must match iterable length during unpacking.,Attempting to unpack a 3-element tuple into 2 variables raises a `ValueError` with the message 'too many values to unpack'.
python,"What error does this code produce?

x = 10
print(y)",ValueError,NameError,TypeError,IndexError,NameError,Accessing an undefined variable raises NameError.,"Trying to print a variable `y` that hasn't been defined results in a `NameError`, as Python doesn't recognize the name."
python,"What is the error in the following?

for i in range(5):
print(i)",TabError,IndentationError,SyntaxError,No error,IndentationError,Incorrect indentation causes IndentationError.,"The body of the for loop must be indented. In this case, the lack of indentation for the `print()` function under the `for` loop raises an `IndentationError`."
python,"What error occurs in this code?

a = {'name': 'Alice'}
print(a['age'])",KeyError,IndexError,NameError,TypeError,KeyError,Accessing a non-existent key raises KeyError.,Dictionaries raise `KeyError` when trying to access a key that doesn’t exist. Use `.get()` to avoid errors when checking unknown keys.
python,"What is the error in the following code?

fopen('data.txt')",NameError,FileNotFoundError,TypeError,AttributeError,NameError,Function name is misspelled.,The correct function is `open()`. Using `fopen()` raises a `NameError` because it is not a built-in function in Python.
python,"What is the error in this code?

a = [1, 2, 3]
a[1] = 5
print(a)",No error,TypeError,IndexError,ValueError,No error,Lists are mutable and support item assignment.,"This code correctly modifies the second element of the list `a` to 5. Lists are mutable, so assigning a new value to an indexed position is valid and produces no error."
python,"What is the output of the following code?

a = [1, 2, 3]
b = a[::]
print(a is b)",True,False,1,0,False,"Slicing creates a new list, not a reference.","Using slice notation `a[::]` creates a shallow copy of the list. Therefore, `a is b` evaluates to `False` because `a` and `b` are different objects in memory."
python,"What is the output of the following code?

print({i: i**2 for i in range(3)})","{0: 0, 1: 1, 2: 4}","{0: 0, 1: 1, 2: 2}","{0: 0, 1: 1}",SyntaxError,"{0: 0, 1: 1, 2: 4}",Dictionary comprehension generates key-value pairs dynamically.,"This dictionary comprehension iterates over `range(3)` and maps each number to its square, resulting in `{0: 0, 1: 1, 2: 4}`."
python,"What is the output of the following code?

print((1, 2) + (3,))","(1, 2, 3)","(1, 2, (3,))",SyntaxError,"(1, 2, 3,)","(1, 2, 3)",Tuples support concatenation using '+' operator.,"Tuples can be concatenated using the `+` operator. `(1, 2) + (3,)` joins them into a new tuple `(1, 2, 3)`."
python,"What is printed in the following code?

a = [1, 2]
b = a
a += [3, 4]
print(b)","[1, 2]","[1, 2, 3, 4]","[1, 2, [3, 4]]",TypeError,"[1, 2, 3, 4]",List addition updates the original list when done in-place.,"The in-place operation `a += [3, 4]` modifies the original list. Since `b` refers to the same list, it reflects the updated values."
python,"What is the output of the following code?

print(sum(range(5)))",10,9,5,4,10,sum() adds up all elements returned by range().,The `range(5)` returns 0 through 4. Their sum is 0 + 1 + 2 + 3 + 4 = 10.
python,"What is the output of the following code?

print(set([1, 2, 2, 3]))","[1, 2, 3]","{1, 2, 3}",SyntaxError,"{1, 2, 2, 3}","{1, 2, 3}",Sets remove duplicate values from a collection.,"Converting a list with duplicates to a set removes repeated elements. The result is a unique unordered collection: `{1, 2, 3}`."
python,"What error occurs in this code?

x = 10
y = 20
print(x + y)",No error,TypeError,NameError,ValueError,No error,Adding two integers works without issues.,There is no error in this code. It simply adds two integers and prints `30`.
python,"What is the output of the following code?

x = 5
y = x
x += 1
print(y)",5,6,NameError,TypeError,5,Immutable types don't share reference; assignment copies value.,"Integers are immutable. When `x` is incremented, a new object is created. `y` still points to the original value `5`."
python,"What is the error in this code?

x = 10
y = '20'
print(x + y)",No error,TypeError,ValueError,NameError,TypeError,Cannot perform arithmetic between int and str.,You cannot add an integer and a string in Python. Doing so raises a `TypeError`. You must explicitly convert the string to an integer or vice versa.
python,"What is the output of the following code?

x = 5
y = 10
print(x > y or y < 10 and x == 5)",True,False,TypeError,NameError,False,Boolean expressions evaluate based on precedence.,"The expression is evaluated as `x > y or (y < 10 and x == 5)`. Since `x > y` is `False` and `y < 10` is also `False`, the whole expression evaluates to `False`."
python,"What is the output of the following code?

a = [1, 2, 3]
print(a[-1])",1,2,3,IndexError,3,Negative indexing accesses elements from the end of the list.,"In Python, negative indexes count from the end. So `a[-1]` returns the last element, which is `3`."
python,"What is the output of the following code?

print('abc' in ['abc', 'def'])",True,False,TypeError,ValueError,True,Membership testing with 'in' works on sequences.,"The expression `'abc' in ['abc', 'def']` checks if `'abc'` exists in the list, which it does, so the result is `True`."
python,"What error occurs in this code?

x = 10
print(eval('x + y'))",NameError,SyntaxError,ZeroDivisionError,No error,NameError,eval() executes in the current scope and raises error if undefined.,"The `eval()` function tries to execute `'x + y'`, but `y` is not defined, raising a `NameError`."
python,"What is the output of the following code?

print(sorted(['a', 'c', 'b']))","['a', 'c', 'b']","['a', 'b', 'c']","['b', 'a', 'c']",TypeError,"['a', 'b', 'c']",sorted() returns a new sorted list from the given iterable.,"The `sorted()` function takes an iterable and returns a new list sorted in ascending order. Here, it returns `['a', 'b', 'c']`."
python,"What is the output of the following code?

print(list(map(lambda x: x.upper(), ['apple', 'banana'])))","['apple', 'banana']","['Apple', 'Banana']","['APPLE', 'BANANA']",TypeError,"['APPLE', 'BANANA']",map applies the lambda to each element in the list.,"The `map()` function applies the `upper()` method to each string in the list, converting them to uppercase. The final output is a list of uppercase strings."
python,"What error occurs in this code?

x = 10
print(y)",ValueError,NameError,TypeError,IndexError,NameError,Accessing an undefined variable raises NameError.,"Trying to print a variable `y` that hasn't been defined results in a `NameError`, as Python doesn't recognize the name."
python,"What error occurs in the following code?

a = [1, 2, 3]
print(a[3])",KeyError,IndexError,NameError,TypeError,IndexError,Accessing out-of-bounds index raises IndexError.,Python raises an `IndexError` when attempting to access an element beyond the length of a sequence like a list or tuple.
python,"What is the output of the following code?

print('hello world'.split())","'hello', 'world'","['hello', 'world']",'h e l l o w o r l d',['hello world'],"['hello', 'world']",split() divides a string into a list of substrings.,"By default, `split()` splits a string on whitespace. `'hello world'.split()` returns `['hello', 'world']`."
python,"What error occurs in the following code?

print(int('abc'))",NameError,ValueError,TypeError,IndexError,ValueError,Invalid literal for int() raises ValueError.,"The `int()` function cannot convert `'abc'` to an integer. This raises a `ValueError`, indicating invalid input for the requested conversion."
python,"What is the output of the following code?

x = [1, 2]
y = x
x += [3, 4]
print(y)","[1, 2]","[1, 2, 3, 4]",TypeError,NameError,"[1, 2, 3, 4]",In-place modification affects referenced lists too.,"Since `y` references the same list as `x`, in-place modification using `+=` updates the shared list. So `y` shows the updated values."
python,"What is the output of the following code?

print('a' in 'apple')",True,False,TypeError,ValueError,True,Membership testing works with strings using 'in'.,The expression `'a' in 'apple'` returns `True` because the character `'a'` is present in the string `'apple'`.
python,"What error occurs in the following code?

print(list(1, 2, 3, 4)","[1, 2, 3, 4]",TypeError,SyntaxError,ValueError,TypeError,list() expects at most one argument.,"Calling `list(1, 2, 3, 4)` raises a `TypeError` because `list()` expects at most one argument — usually an iterable."
python,"What is the output of the following code?

print('hello'.replace('e', 'a'))",'hallo','hella','hallo','hELLo','hallo',replace() replaces occurrences of a substring with another.,"The `replace('e', 'a')` replaces all instances of `'e'` with `'a'`, changing `'hello'` to `'hallo'`."
python,"What is the error in the following code?

for i in range(5):
print(i)",No error,IndentationError,SyntaxError,NameError,IndentationError,Improper indentation raises IndentationError.,The `print()` inside the `for` loop must be indented. Failing to do so raises an `IndentationError`.
python,"What is the output of the following code?

print('abc' in 'abcdef')",True,False,TypeError,ValueError,True,The 'in' operator checks for substring presence.,"In Python, `'abc' in 'abcdef'` returns `True` because `'abc'` is a substring of `'abcdef'`."
python,"What is the output of the following code?

a = [1, 2, 3]
b = a
a.append(4)
print(b)","[1, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]",None,"[1, 2, 3, 4]",Appending to one list affects other references if not copied.,"Since `b` is a reference to the same list as `a`, appending to `a` affects `b`. So, printing `b` after `a.append(4)` shows the updated list."
python,"What is the error in the following code?

x = 10
print(eval('x + 20'))",NameError,No error,SyntaxError,TypeError,No error,eval() evaluates valid expressions without issue.,"The `eval()` function parses and evaluates the expression `'x + 20'`, where `x` is 10. The result is `30`, and no error is raised."
python,"What is the output of the following code?

print([x for x in range(5) if x % 2 == 0])","[0, 2, 4]","[1, 3]","[0, 1, 2, 3, 4]",None,"[0, 2, 4]",List comprehensions filter values based on conditions.,"This list comprehension filters even numbers from `range(5)` and returns `[0, 2, 4]`."
AI,What does AI stand for?,Artificial Integration,Automated Intelligence,Artificial Intelligence,Algorithmic Interaction,Artificial Intelligence,AI aims to simulate human intelligence in machines.,"AI stands for Artificial Intelligence — the branch of computer science that focuses on creating systems capable of performing tasks that normally require human intelligence. These include learning, reasoning, problem-solving, perception, and language understanding."
AI,Which of the following best describes machine learning?,A subset of AI,A type of hardware,An application of robotics,A programming paradigm,A subset of AI,Machine learning enables AI by learning from data instead of being explicitly programmed.,"Machine Learning (ML) is a core subset of AI that allows computers to learn from data. Unlike traditional rule-based programming, ML models improve their performance over time as they are exposed to more data, making them highly adaptable to new inputs and patterns."
AI,What is a use case for AI?,Data entry,Image recognition,File compression,Memory allocation,Image recognition,AI excels at recognizing patterns in unstructured data like images and videos.,"One of the most prominent applications of AI is image recognition, where algorithms can identify objects, people, and scenes in visual media. This powers technologies like facial recognition, autonomous vehicles, and medical imaging diagnostics."
AI,What is a key benefit of using AI in business?,Higher labor costs,Increased efficiency,Slower decision-making,Reduced automation,Increased efficiency,AI automates repetitive tasks and improves decision-making speed.,"AI enhances business operations by automating repetitive tasks such as customer service, data analysis, and inventory management. It also supports faster, data-driven decisions through predictive modeling and real-time analytics."
AI,What is NLP in AI?,New Language Processing,Natural Language Processing,Numerical Language Parsing,Network Level Protocol,Natural Language Processing,NLP enables machines to understand and respond to human language.,"Natural Language Processing (NLP) is a field of AI focused on enabling computers to understand, interpret, generate, and respond to human language in a meaningful way. Applications include chatbots, voice assistants, sentiment analysis, and translation services."
AI,Which of the following is NOT an AI technique?,Neural networks,Decision trees,Linear equations,Genetic algorithms,Linear equations,"Linear equations are mathematical tools, not AI techniques.","While linear equations are used in many fields including AI, they are not inherently AI methods. AI techniques typically involve learning from data or simulating intelligent behavior, which is not the case for basic mathematical expressions like linear equations."
AI,What is deep learning?,Learning from large datasets manually,Using shallow neural networks,Using deep neural networks,Basic algorithm tuning,Using deep neural networks,Deep learning involves multiple layers of abstraction in neural networks.,"Deep learning is a subfield of machine learning that uses artificial neural networks with many layers (deep structures) to model and understand complex patterns in data. It's widely used in speech recognition, image classification, and natural language processing."
AI,Which of the following is a limitation of AI?,High accuracy,Lack of transparency,Low cost,Fast deployment,Lack of transparency,"Some AI models act as black boxes, making it hard to interpret decisions.","One major challenge in AI is the lack of transparency in certain models, especially deep learning ones. This makes it difficult to understand how decisions are made, raising concerns around fairness, accountability, and trustworthiness in critical applications like healthcare and finance."
AI,What is supervised learning?,Learning without labels,Learning with labeled data,Learning through rewards,Learning from experience,Learning with labeled data,Supervised learning maps input to known correct outputs.,"In supervised learning, models are trained using labeled datasets where each input has a corresponding output. This helps the model learn the relationship between inputs and outputs and make predictions on new, unseen data."
AI,What is unsupervised learning used for?,Labeling data,Finding hidden patterns,Training robots,Manual data sorting,Finding hidden patterns,Unsupervised learning works with unlabeled data to find underlying structure.,"Unsupervised learning involves training models on data without labeled outcomes. The goal is to uncover hidden patterns or groupings in the data, such as clustering similar items together or detecting anomalies."
AI,What is reinforcement learning based on?,Feedback from humans,Reward and punishment system,Predefined rules,Static data,Reward and punishment system,Reinforcement learning mimics learning through trial and error.,"Reinforcement learning is inspired by behavioral psychology. An agent learns to make decisions by performing actions in an environment and receiving feedback in the form of rewards or penalties. This method is used in game playing, robotics, and recommendation systems."
AI,Which of the following is a popular AI framework?,React,TensorFlow,Bootstrap,jQuery,TensorFlow,TensorFlow is widely used for building and training machine learning models.,"TensorFlow is an open-source machine learning framework developed by Google. It provides tools for building and training various AI models, especially deep learning architectures, and is commonly used in research and production environments."
AI,What is a neural network?,A biological brain cell,A mathematical function,A computational model inspired by the human brain,A database query,A computational model inspired by the human brain,Neural networks simulate the way human brains process information.,"A neural network is a computational model composed of interconnected nodes (neurons) that mimic the structure and function of the human brain. It is fundamental to deep learning and is used to recognize patterns, classify data, and make decisions based on complex inputs."
AI,What is a chatbot?,A physical robot,An AI-powered conversational agent,A web browser,A spreadsheet tool,An AI-powered conversational agent,Chatbots simulate human conversation using natural language processing.,"A chatbot is an AI program designed to simulate conversation with human users, often through messaging interfaces or voice commands. They rely on NLP and machine learning to understand and respond to user queries effectively."
AI,What is computer vision?,Understanding text,Processing audio,Interpreting visual information,Managing databases,Interpreting visual information,Computer vision enables machines to 'see' and analyze visual data.,"Computer Vision is a field of AI that allows computers to interpret and make decisions based on visual data from the world, such as images and videos. It powers features like object detection, facial recognition, and self-driving car navigation."
AI,Which of the following is a benefit of AI in healthcare?,More errors in diagnosis,Faster diagnosis,Less accurate results,Slower treatments,Faster diagnosis,AI accelerates diagnostic processes and reduces human workload.,"AI in healthcare can significantly reduce the time required for diagnosis by analyzing vast amounts of medical data quickly and accurately. For example, AI models can detect tumors in radiology scans faster than traditional methods, improving patient outcomes and reducing human fatigue."
AI,What is a limitation of AI in education?,Personalized learning,Lack of emotional intelligence,Improved grading,Interactive teaching,Lack of emotional intelligence,AI lacks empathy and may miss subtle emotional cues in student interactions.,"One limitation of AI in education is its inability to fully understand or respond to emotional and social nuances. While AI can automate grading and personalize content, it struggles with empathy, motivation, and personalized emotional support that human educators provide."
